#age = 20-70
#compuse = when did you start using a computer? 1970-2005
#netuse = when did you start using the internet? 1970-2005
#computers = how many computers do you own? 0-5
#website = do you know how to build a website?
uid,age,compuse,netuse,computers,website,mouse,browser
176,20,2000,1993,2,no,regular,Chrome 7.0.517
177,30,1995,2005,0,no,touchpad,Firefox 3.6.10
178,30,1984,1982,1,no,regular,IE 8.0
179,20,1984,1970,1,pro,regular,Chrome 7.0.517
180,30,1984,2000,1,no,trackball,Firefox 3.6.12
181,50,1995,2000,1,no,touchpad,IE 8.0
182,20,1995,1982,1,no,touchpad,IE 8.0
183,20,2000,1993,3,amateur,regular,Firefox 3.5.15
184,20,2000,1982,2,sorta,trackball,Firefox 3.6.12
185,50,1970,1993,1,amateur,touchpad,Firefox 3.5.7
186,20,1995,1993,1,no,regular,Firefox 3.6.12
187,30,1984,1993,2,sorta,touchpad,Chrome 7.0.517
188,30,1984,1970,1,no,regular,Firefox 3.6.12
189,30,1984,1993,2,no,touchpad,Firefox 3.6.3
190,30,1984,1993,1,no,touchpad,Safari 5.0.2
191,20,2000,1970,1,no,touchpad,Firefox 3.6.12
192,20,2000,1982,1,amateur,regular,Chrome 7.0.517
193,20,1995,1970,3,sorta,other,IE 8.0
194,30,1995,1993,1,sorta,trackball,Firefox 3.6.12
195,20,1984,1993,3,amateur,regular,Firefox 3.6.12
196,30,1984,1993,1,sorta,regular,Firefox 3.6.12
197,30,1995,1993,3,no,touchpad,IE 8.0
198,30,1995,1982,2,sorta,other,Firefox 3.6.12
199,30,1995,1970,1,no,touchpad,Chrome 7.0.517
200,30,1970,1970,5,pro,trackball,Firefox 3.6.12
201,50,1995,1993,2,no,regular,Firefox 3.6.12
202,20,2000,2000,1,sorta,touchpad,Firefox 3.6.12
203,20,1984,1993,1,sorta,eraser,Firefox 3.6.12
204,30,1995,1993,1,no,regular,Firefox 3.6.12
205,20,1995,1993,3,amateur,touchpad,IE 8.0
206,20,1995,1970,3,sorta,regular,Chrome 7.0.517
207,30,1995,1982,2,amateur,regular,Firefox 3.6.12
208,20,2000,1982,1,no,regular,Firefox 3.6.12
209,20,1984,1982,2,amateur,touchpad,IE 8.0
210,20,2005,1993,1,amateur,other,Firefox 3.6.12
211,30,1995,1993,3,no,trackball,Chrome 7.0.517
212,20,2000,1993,1,no,regular,Firefox 3.6.12
213,20,2000,1982,1,pro,touchpad,Firefox 3.6.12
214,20,2000,1982,4,sorta,regular,Chrome 7.0.518
215,20,2000,1993,1,no,touchpad,Firefox 3.6.12
216,20,1995,1982,2,sorta,regular,Firefox 4.0.NaN
217,20,2000,2000,2,amateur,regular,Firefox 3.6.12
218,20,1995,1982,1,amateur,trackball,Firefox 3.5.15
219,30,1984,1982,3,no,touchpad,Firefox 3.6.12
220,20,1995,1993,2,sorta,regular,Firefox 3.0.19
221,20,1995,1982,1,no,touchpad,IE 8.0
222,30,1984,1970,2,no,touchpad,Firefox 3.6.12
223,50,1984,1993,2,amateur,regular,IE 8.0
224,20,2000,1982,2,pro,regular,Chrome 7.0.517
225,30,2005,1993,1,sorta,regular,Chrome 7.0.517
226,20,1995,1970,2,amateur,touchpad,Firefox 3.6.10
227,20,2000,1993,1,amateur,touchpad,Firefox 3.6.12
228,30,2005,2005,0,no,regular,Firefox 3.6.12
229,30,1995,1993,1,amateur,regular,Firefox 3.6.12
230,30,1984,1993,1,no,trackball,IE 8.0
231,20,1995,1982,1,sorta,touchpad,Firefox 3.5.5
232,20,2005,1982,1,no,regular,Firefox 3.6.10
233,20,1984,1982,3,sorta,regular,Firefox 3.6.12
234,20,2005,1993,1,no,regular,Firefox 3.6.12
235,20,1970,1982,5,amateur,regular,Firefox 4.0.NaN
236,30,1984,1970,2,pro,regular,Chrome 7.0.517
237,20,1995,1970,2,amateur,touchpad,Firefox 3.6.12
238,20,2000,1982,1,no,regular,Firefox 3.0.19
239,20,1984,1982,1,amateur,trackball,Chrome 7.0.517
240,20,2000,1982,1,amateur,regular,Chrome 7.0.517
241,50,1984,1993,3,no,regular,Firefox 3.6.12
242,20,1995,1993,5,no,other,Safari 4.0.4
243,30,2005,1982,1,sorta,touchpad,Firefox 3.6.12
244,30,1984,1982,3,amateur,regular,Firefox 3.6.12
245,20,2000,1993,2,no,touchpad,Firefox 3.5.11
246,20,1995,1982,1,amateur,other,Firefox 3.6.12
247,30,1995,1993,1,sorta,regular,IE 8.0
248,20,2000,1993,1,sorta,touchpad,Chrome 7.0.517
249,30,1984,1970,3,no,other,Firefox 3.6.12
250,20,1995,1982,1,sorta,trackball,Firefox 3.6.12
