relay,lat,rate,obs,up,down
direct,500.0,50,19,1.188,53.583
direct,500.0,50,20,1.122,53.076
direct,500.0,150,1,1.71,26.831
direct,500.0,150,2,0.361,0.21
direct,500.0,150,3,0.594,37.426
direct,500.0,150,4,1.32,63.588
direct,500.0,150,5,1.386,71.158
direct,500.0,150,6,1.782,83.27
direct,500.0,150,7,2.31,115.368
direct,500.0,150,8,3.432,172.596
direct,500.0,150,9,5.214,255.866
direct,500.0,150,10,8.184,398.182
direct,500.0,150,11,9.768,218.34
direct,500.0,150,12,3.564,157.696
direct,500.0,150,13,3.564,157.755
direct,500.0,150,14,3.564,157.696
direct,500.0,150,15,3.498,157.696
direct,500.0,150,16,3.63,157.696
direct,500.0,150,17,3.498,157.755
direct,500.0,150,18,3.564,157.696
direct,500.0,150,19,3.564,157.696
direct,500.0,150,20,3.564,157.755
direct,500.0,300,1,4.698,79.991
direct,500.0,300,2,0.361,0.21
direct,500.0,300,3,0.792,37.486
direct,500.0,300,4,1.452,60.62
direct,500.0,300,5,1.188,69.704
direct,500.0,300,6,1.518,83.27
direct,500.0,300,7,2.178,115.064
direct,500.0,300,8,3.432,171.082
direct,500.0,300,9,5.346,261.922
direct,500.0,300,10,8.316,408.78
direct,500.0,300,11,12.474,517.788
direct,500.0,300,12,15.906,571.267
direct,500.0,300,13,8.712,313.979
direct,500.0,300,14,6.864,314.599
direct,500.0,300,15,6.864,314.599
direct,500.0,300,16,6.864,314.599
direct,500.0,300,17,6.864,314.843
direct,500.0,300,18,6.864,314.539
direct,500.0,300,19,6.864,314.539
direct,500.0,300,20,6.864,314.539
direct,550.0,50,1,8.528,154.538
direct,550.0,50,2,0.293,0.21
direct,550.0,50,3,0.533,32.541
direct,550.0,50,4,1.518,54.564
direct,550.0,50,5,1.188,50.57
direct,550.0,50,6,1.584,62.005
direct,550.0,50,7,1.188,52.861
direct,550.0,50,8,1.188,53.868
direct,550.0,50,9,1.254,53.429
direct,550.0,50,10,1.122,53.868
direct,550.0,50,11,1.254,52.354
direct,550.0,50,12,1.188,52.861
direct,550.0,50,13,1.188,53.868
direct,550.0,50,14,1.188,52.861
direct,550.0,50,15,1.278,50.908
direct,550.0,50,16,2.598,52.99
direct,550.0,50,17,2.046,54.829
direct,550.0,50,18,1.188,52.861
direct,550.0,50,19,1.254,52.354
direct,550.0,50,20,1.188,54.375
direct,550.0,150,1,1.694,29.925
direct,550.0,150,2,0.401,0.21
direct,550.0,150,3,0.534,37.426
direct,550.0,150,4,1.386,60.56
direct,550.0,150,5,1.254,34.822
direct,550.0,150,6,1.056,77.214
direct,550.0,150,7,2.178,107.798
direct,550.0,150,8,3.234,149.886
direct,550.0,150,9,4.62,181.68
direct,550.0,150,10,5.478,269.492
direct,550.0,150,11,9.042,465.456
direct,550.0,150,12,8.712,158.699
direct,550.0,150,13,3.498,156.357
direct,550.0,150,14,3.498,158.286
direct,550.0,150,15,3.432,158.286
direct,550.0,150,16,3.498,156.772
direct,550.0,150,17,3.498,158.424
direct,550.0,150,18,3.498,158.055
direct,550.0,150,19,3.432,156.923
direct,550.0,150,20,3.498,158.286
direct,550.0,300,1,4.802,87.294
direct,550.0,300,2,0.455,0.21
direct,550.0,300,3,0.534,37.426
direct,550.0,300,4,1.386,60.56
direct,550.0,300,5,1.386,34.822
direct,550.0,300,6,0.924,77.274
direct,550.0,300,7,2.112,104.526
direct,550.0,300,8,3.234,160.544
direct,550.0,300,9,4.95,175.624
direct,550.0,300,10,5.412,263.436
direct,550.0,300,11,8.844,511.732
direct,550.0,300,12,14.652,569.264
direct,550.0,300,13,14.652,428.254
direct,550.0,300,14,6.864,315.781
